Date,Title,Comment,Authors,ISBN,Status
28/01/2025,Il male per una buona causa,"un po' troppo unversitario, ma nel finale si riprende.",,,unmatched
02/02/2025,Trappole alimentari,molto molto interessante.,Stefano Vendrame,9788830462540,matched
04/02/2025,Il ladro di piume,bello!,Kirk Wallace Johnson,9791255480235,matched
09/02/2025,Contro la moda,molto bof.,,,unmatched
12/03/2025,I confini di Babele,"molto interessante, devo trovare qualcos'altro su linguaggio e pensiero.",,,unmatched
29/03/2025,I miserabili,molto bello a parte le solite digressioni.,,,unmatched
30/03/2025,Musica per camaleonti,che tipo quel Truman.,Truman Capote,9788811684213,matched
01/04/2025,Kindred,molto bello e agghiacciante.,Octavia E. Butler,9781472258229,matched
06/04/2025,Il mondo fino a ieri,"interessante, ma niente di particolarmente nuovo.",,,unmatched
07/04/2025,L'agente segreto,"carino, mi aspettavo qualcosa di completamente diverso.",,,unmatched
20/04/2025,La versione degli alberi,"proprio carino, speriamo scriva anche il seguito.",Stefano Mancuso,9788806262952,matched
21/04/2025,Libera,molto bello e quanta rabbia.,Alessandra Ziniti,9791222500508,matched
29/04/2025,Educazione Siberiana,"bello, anche se in un mondo parallelo.",Nicolai Lilin,9788806202569,matched
30/04/2025,Caduta Libera,"bello anche questo, ma rovinato dal fatto che ho poi letto che sia fiction e non autobiografia come presentato.",Nicolai Lilin,9788806207885,matched
02/05/2025,Il libri degli esseri a malapena immaginabili,"carino, qualche passo notevole.",,,unmatched
06/05/2025,Avidita',"crudo, cinico e agghiacciante, pero' mi e' piaciuto nonostante la lettura faticosa.","Elfriede Jelinek, Barbara Agnese",9788834619230,matched
08/05/2025,Per la pace perpetua,"interessante, sono secoli che ci si pensa ma ancora siamo lontani.",Immanuel Kant,9788807900327,matched
20/05/2025,Work,super prolisso e per buona parte fuori tema.,,,unmatched
26/05/2025,Tempo,interessante anche se nulla di particolarmente nuovo.,,,unmatched
01/06/2025,Just Babies,"interessante, titolo un po' misleading ma comunque tante info interessanti.",Paul Bloom,9780307886859,matched
02/06/2025,Nelle strade di Teheran,"molto molto carino, mannaggia a quelle merde di mullah e tutti gli altri.",Nila,9791256240180,matched
06/06/2025,Joker scatenato,"interessante, ma solo a tratti.",Guido Vitiello,9791256240487,matched
10/06/2025,Breath,"molto molto interessante, provero' a metterle in pratica.",,,unmatched
13/06/2025,L'eleganza del vuoto,molto bello e interessante.,,,unmatched
20/06/2025,La storia,bello e triste.,Elsa Morante,9788806219642,matched
25/06/2025,L'uomo venuto dal futuro,"molto interessante, un sacco di cose che non sapevo su Von Neumann.",,,unmatched
30/06/2025,Fancy Bear Goes Phishing,molto interessante.,,,unmatched
07/07/2025,The remains of the Day,proprio bello.,,,unmatched
12/07/2025,The optimism bias,"interessante, ma niente di veramente nuovo.",,,unmatched
17/07/2025,Nexus,"molto molto interessante, come sempre da Harari.",,,unmatched
20/07/2025,Civilized to Death,"illuminante, forse uno dei migliori libri mai letti, tira le somme di un sacco di pensieri e riflessioni.",,,unmatched
21/07/2025,Nutshell,bello.,,,unmatched
